First Name [Required],Last Name [Required],Email Address [Required],Password [Required],Password Hash Function [UPLOAD ONLY],Org Unit Path [Required],New Primary Email [UPLOAD ONLY],Recovery Email,Home Secondary Email,Work Secondary Email,Recovery Phone [MUST BE IN THE E.164 FORMAT],Work Phone,Home Phone,Mobile Phone,Work Address,Home Address,Employee ID,Employee Type,Employee Title,Manager Email,Department,Cost Center,Building ID,Floor Name,Floor Section,Change Password at Next Sign-In,New Status [UPLOAD ONLY],Advanced Protection Program enrollment
Karen,Pierce,karen.pierce745@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Amy,Chapman,amy.chapman705@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
David,Smith,david.smith845@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
David,Horton,david.horton613@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Stephanie,Combs,stephanie.combs605@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Rhonda,Wise,rhonda.wise809@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jacqueline,Lewis,jacqueline.lewis13@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Marie,Griffin,marie.griffin700@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Stephen,Warner,stephen.warner709@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Erika,Green,erika.green612@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
